02, 07-04-2024 23:28:09, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power percent       ,Power               ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU usage           ,CPU1 clock          ,CPU2 clock          ,CPU3 clock          ,CPU4 clock          ,CPU5 clock          ,CPU6 clock          ,CPU7 clock          ,CPU8 clock          ,CPU9 clock          ,CPU10 clock         ,CPU11 clock         ,CPU12 clock         ,CPU clock           ,CPU power           ,RAM usage           ,Commit charge       ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       
80, 07-04-2024 23:28:19, 47.000              ,7.000               ,11.000              ,6.000               ,0.000               ,735.020             ,300.000             ,405.000             ,12.000              ,10.232              ,0.000               ,0.000               ,0.000               ,1.000               ,77.000              ,77.000              ,73.000              ,73.000              ,77.000              ,77.000              ,69.000              ,70.000              ,71.000              ,71.000              ,64.000              ,64.000              ,76.000              ,15.559              ,5.624               ,18.751              ,10.642              ,12.637              ,9.193               ,14.372              ,6.803               ,10.674              ,5.402               ,12.978              ,12.504              ,11.262              ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,4087.396            ,21.816              ,6584.000            ,12044.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:20, 47.000              ,21.000              ,17.000              ,8.000               ,1.000               ,735.082             ,345.000             ,405.000             ,13.000              ,10.818              ,0.000               ,0.000               ,0.000               ,1.000               ,74.000              ,74.000              ,69.000              ,69.000              ,75.000              ,76.000              ,73.000              ,73.000              ,66.000              ,66.000              ,65.000              ,65.000              ,76.000              ,22.350              ,8.080               ,18.554              ,14.759              ,16.673              ,10.129              ,15.007              ,13.780              ,14.060              ,7.068               ,16.484              ,10.836              ,13.982              ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,23.763              ,6578.000            ,12041.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:21, 49.000              ,30.000              ,21.000              ,11.000              ,0.000               ,790.270             ,1455.000            ,6000.984            ,31.000              ,25.430              ,0.000               ,0.000               ,0.000               ,1.000               ,72.000              ,72.000              ,66.000              ,66.000              ,68.000              ,68.000              ,68.000              ,68.000              ,66.000              ,66.000              ,64.000              ,64.000              ,72.000              ,18.175              ,6.595               ,17.706              ,12.249              ,15.565              ,9.739               ,11.962              ,20.048              ,16.601              ,5.385               ,12.783              ,10.393              ,13.100              ,3389.548            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,3588.933            ,25.760              ,6585.000            ,12120.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:22, 49.000              ,2.000               ,1.000               ,3.000               ,0.000               ,731.207             ,1455.000            ,6000.984            ,31.000              ,25.550              ,0.000               ,0.000               ,0.000               ,1.000               ,75.000              ,75.000              ,68.000              ,68.000              ,70.000              ,70.000              ,66.000              ,66.000              ,64.000              ,64.000              ,60.000              ,60.000              ,76.000              ,14.628              ,6.025               ,14.769              ,13.140              ,14.634              ,6.589               ,8.531               ,19.621              ,11.060              ,3.874               ,15.593              ,6.731               ,11.266              ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,25.295              ,6585.000            ,12065.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:23, 49.000              ,2.000               ,1.000               ,0.000               ,0.000               ,731.207             ,1455.000            ,6000.984            ,31.000              ,25.494              ,0.000               ,0.000               ,0.000               ,1.000               ,62.000              ,62.000              ,62.000              ,62.000              ,62.000              ,62.000              ,60.000              ,60.000              ,57.000              ,57.000              ,58.000              ,58.000              ,63.000              ,13.190              ,1.296               ,10.107              ,5.586               ,4.370               ,4.460               ,5.058               ,1.304               ,3.034               ,2.010               ,6.646               ,8.610               ,5.473               ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,14.889              ,6581.000            ,12056.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:24, 47.000              ,2.000               ,2.000               ,3.000               ,0.000               ,734.582             ,345.000             ,405.000             ,13.000              ,10.073              ,0.000               ,0.000               ,0.000               ,1.000               ,81.000              ,81.000              ,70.000              ,70.000              ,77.000              ,77.000              ,70.000              ,70.000              ,70.000              ,70.000              ,65.000              ,65.000              ,82.000              ,14.064              ,3.183               ,24.031              ,8.723               ,14.958              ,8.128               ,9.314               ,4.621               ,8.598               ,4.104               ,8.498               ,7.855               ,9.673               ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,24.158              ,6585.000            ,12039.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:25, 47.000              ,8.000               ,10.000              ,9.000               ,0.000               ,734.582             ,345.000             ,405.000             ,12.000              ,10.026              ,0.000               ,0.000               ,0.000               ,1.000               ,72.000              ,72.000              ,66.000              ,66.000              ,69.000              ,69.000              ,66.000              ,66.000              ,64.000              ,64.000              ,62.000              ,62.000              ,72.000              ,12.377              ,4.628               ,19.641              ,7.900               ,10.777              ,6.161               ,9.420               ,2.369               ,7.196               ,6.035               ,8.051               ,8.258               ,8.568               ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,18.417              ,6580.000            ,12039.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:26, 47.000              ,7.000               ,13.000              ,11.000              ,0.000               ,733.457             ,300.000             ,405.000             ,12.000              ,10.052              ,0.000               ,0.000               ,0.000               ,1.000               ,87.000              ,87.000              ,72.000              ,72.000              ,82.000              ,82.000              ,72.000              ,72.000              ,69.000              ,69.000              ,71.000              ,71.000              ,87.000              ,17.142              ,6.821               ,19.626              ,6.058               ,12.602              ,9.913               ,9.379               ,7.350               ,7.654               ,4.101               ,11.804              ,7.739               ,10.016              ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,23.576              ,6584.000            ,12035.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:27, 47.000              ,9.000               ,13.000              ,10.000              ,0.000               ,732.457             ,300.000             ,405.000             ,13.000              ,10.063              ,0.000               ,0.000               ,0.000               ,1.000               ,64.000              ,64.000              ,63.000              ,63.000              ,65.000              ,65.000              ,61.000              ,61.000              ,60.000              ,60.000              ,57.000              ,57.000              ,65.000              ,16.605              ,5.461               ,12.658              ,5.038               ,8.122               ,6.935               ,8.172               ,2.987               ,5.082               ,4.044               ,6.051               ,6.383               ,7.295               ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,3888.010            ,17.121              ,6581.000            ,12030.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
80, 07-04-2024 23:28:28, 47.000              ,12.000              ,13.000              ,10.000              ,0.000               ,728.457             ,300.000             ,405.000             ,12.000              ,9.812               ,0.000               ,0.000               ,0.000               ,1.000               ,71.000              ,71.000              ,66.000              ,66.000              ,70.000              ,70.000              ,66.000              ,66.000              ,64.000              ,64.000              ,64.000              ,64.000              ,71.000              ,13.903              ,3.800               ,17.498              ,9.946               ,10.383              ,5.569               ,10.200              ,7.390               ,7.043               ,3.844               ,8.647               ,8.328               ,8.879               ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,3987.703            ,21.098              ,6579.000            ,12024.000           ,N/A                 ,0.000               ,N/A                 ,N/A                 ,N/A                 
